prob	year	artist	song	snippet	url	features
0.98	2021	3MFrench (Ft. Pengz & Two-Two)	Lizzy McGuire	"the plug, he told me, ""That price is regular, forty thousand for a brick"" (Birds) / My nayaas they go from"	https://genius.com/3mfrench-lizzy-mcguire-lyrics	"kilo term; num near kilo (forty thousand); plausible $K; ""for a brick""; ""N a key""; price word; money unit; drug context"
0.97	0	Snap Capone	Pay 4 It / Picture Me Rolling	drops, that's crack in a pot / Charge thirty for a key, that's the price of my watch / Nigga	https://genius.com/Snap-capone-pay-4-it-picture-me-rolling-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; price word; drug context"
0.96	0	Fee Gonzales	Slatt	Yeah, I just paid like 40 for the brick mm-hm / I just put the monkey on my kicks mm	https://genius.com/Fee-gonzales-slatt-lyrics	"kilo term; num near kilo (40); plausible $K; ""for a brick""; ""N a key""; price word"
0.96	0	Saigon	Papi (35 a Gram)	papi, work with me / Cuz see 35 g's for a key is too much for me / 35 a gram	https://genius.com/Saigon-papi-35-a-gram-lyrics	"kilo term; num near kilo (35 g's); plausible $K; ""for a brick""; ""N a key""; money unit; drug context; oz/gram nearby"
0.95	0	Doughboyz Cashout (Ft. Mack Nickels)	Numbers	can get for the 6. 2 for 60 for the bricks / Low key as whip when I’m trafficking the	https://genius.com/Doughboyz-cashout-numbers-lyrics	"kilo term; num near kilo (60); plausible $K; ""for a brick""; ""N a key""; drug context"
0.94	0	Smerker (Ft. Deep Green, J Spades & Pak-Man)	Stars In The Wraith (Remix)	on my clip / Thirty on my wrist, wan' pay thirty for a brick / I don't trust hoes or a	https://genius.com/Smerker-stars-in-the-wraith-remix-lyrics	"kilo term; num near kilo (thirty); plausible $K; ""for a brick""; ""N a key""; price word; number counts other noun"
0.93	0	MarleMarle	Flex like Rich	no joke,bottle up cola we selling that coke,8 grand a key get it straight off the boat / This	https://genius.com/Marlemarle-flex-like-rich-lyrics	"kilo term; num near kilo (8 grand); plausible $K; ""N a key""; price word; money unit; drug context"
0.92	0	Styles P	Institutionalized	s faces / Forget the colors, do the numbers / Twenty for a brick, but if you caught, it's twenty-five	https://genius.com/Styles-p-institutionalized-lyrics	"kilo term; num near kilo (twenty); plausible $K; ""for a brick""; ""N a key"""
0.92	2013	Young Thug (Ft. Heavy (Rap) & OG Boo Dirty)	Yeah, Yeah (1017 Thug)	Yeah, yeah (They'll cock back, they depressed too, Hoodrich) / Thirty-six for a brick, too legit to quit (Woo	https://genius.com/Young-thug-yeah-yeah-1017-thug-lyrics	"kilo term; num near kilo (thirty-six); plausible $K; ""for a brick""; ""N a key"""
0.92	2001	E.S.G. (TX) & Slim Thug (Ft. CoCo (Rapper) & C-Styles (TX))	Mash For Our Cash	the Cardiers / Cause we ball like Jason, Dujan and Battier / Sixteen-five for a bird, so nigga quit hating / In	https://genius.com/Esg-tx-and-slim-thug-mash-for-our-cash-lyrics	"kilo term; num near kilo (five); plausible $K; ""for a brick""; ""N a key"""
